category	sub_category	skill
Non-Technical	Communication & Interpersonal	Verbal Communication
Non-Technical	Communication & Interpersonal	Written Communication
Non-Technical	Communication & Interpersonal	Active Listening
Non-Technical	Communication & Interpersonal	Public Speaking
Non-Technical	Communication & Interpersonal	Presentation Skills
Non-Technical	Communication & Interpersonal	Negotiation
Non-Technical	Communication & Interpersonal	Persuasion
Non-Technical	Communication & Interpersonal	Storytelling
Non-Technical	Communication & Interpersonal	Empathy
Non-Technical	Communication & Interpersonal	Conflict Resolution
Non-Technical	Leadership & Management	Team Leadership
Non-Technical	Leadership & Management	People Management
Non-Technical	Leadership & Management	Strategic Thinking
Non-Technical	Leadership & Management	Decision Making
Non-Technical	Leadership & Management	Delegation
Non-Technical	Leadership & Management	Coaching & Mentoring
Non-Technical	Leadership & Management	Change Management
Non-Technical	Leadership & Management	Performance Management
Non-Technical	Leadership & Management	Crisis Management
Non-Technical	Organizational & Productivity	Time Management
Non-Technical	Organizational & Productivity	Multitasking
Non-Technical	Organizational & Productivity	Prioritization
Non-Technical	Organizational & Productivity	Goal Setting
Non-Technical	Organizational & Productivity	Meeting Deadlines
Non-Technical	Organizational & Productivity	Organization Skills
Non-Technical	Organizational & Productivity	Planning & Scheduling
Non-Technical	Organizational & Productivity	Attention to Detail
Non-Technical	Problem-Solving & Critical Thinking	Analytical Thinking
Non-Technical	Problem-Solving & Critical Thinking	Creativity
Non-Technical	Problem-Solving & Critical Thinking	Innovation
Non-Technical	Problem-Solving & Critical Thinking	Research & Analysis
Non-Technical	Problem-Solving & Critical Thinking	Troubleshooting
Non-Technical	Problem-Solving & Critical Thinking	Root Cause Analysis
Non-Technical	Problem-Solving & Critical Thinking	Logical Reasoning
Non-Technical	Problem-Solving & Critical Thinking	Design Thinking
Non-Technical	Teamwork & Collaboration	Cross-Functional Collaboration
Non-Technical	Teamwork & Collaboration	Adaptability
Non-Technical	Teamwork & Collaboration	Flexibility
Non-Technical	Teamwork & Collaboration	Emotional Intelligence
Non-Technical	Teamwork & Collaboration	Dependability
Non-Technical	Teamwork & Collaboration	Accountability
Non-Technical	Teamwork & Collaboration	Open-Mindedness
Non-Technical	Teamwork & Collaboration	Respectfulness
Non-Technical	Work Ethic & Professionalism	Integrity
Non-Technical	Work Ethic & Professionalism	Initiative
Non-Technical	Work Ethic & Professionalism	Self-Motivation
Non-Technical	Work Ethic & Professionalism	Responsibility
Non-Technical	Work Ethic & Professionalism	Reliability
Non-Technical	Work Ethic & Professionalism	Punctuality
Non-Technical	Work Ethic & Professionalism	Work Ethic
Non-Technical	Work Ethic & Professionalism	Confidentiality
Non-Technical	Customer & Client-Facing	Customer Service
Non-Technical	Customer & Client-Facing	Relationship Building
Non-Technical	Customer & Client-Facing	Client Management
Non-Technical	Customer & Client-Facing	Sales Skills
Non-Technical	Customer & Client-Facing	Networking
Non-Technical	Customer & Client-Facing	Product Knowledge
